10
0.25;0.40;0.55;0.75;0.85;0.90;0.95

4.394	0
0.249	0.458
0.127 	0.072
-0.087	-0.032
0.042	0.000
-0.011	0.015
0.001	0.010
-0.014	0.010
-0.012	-0.002
-0.007 	-0.007
-0.003	0.006

14.864	0
1.222	1.200
0.319	0.291
-0.178	-0.004
0.046	-0.075
0.012	0.020
-0.011	0.005
-0.013	0.005
0.004	0.009
-0.019	-0.011
-0.006	0.006

16.432	0
1.699	0.779
0.318	0.381
-0.019	0.097
-0.005	-0.023
-0.068	-0.007
-0.037	-0.032
-0.003	-0.015
0.024	0.040
0.019	0.010
0.017	0.019

25.232	0
3.305	0.483
0.537	1.011
-0.371	0.218
0.304	0.140
-0.185	-0.059
0.061	-0.043
-0.053	-0.003
0.064	0.000
-0.094	0.087
0.017	0.027

40.760	0
-0.602	-1.571
4.212	3.142
-1.486	-0.962
0.871	1.570
-0.412	0.471
0.174	-0.126
-0.025	0.268
-0.186	-0.021
0.113	0.119
0.016	-0.015

52.062	0
-5.959	-1.150
1.090	0.719
1.867	1.273
-0.207	0.276
-0.982	-0.485
-0.406	0.143
-0.187	0.082
0.253	0.278
-0.137	0.165
-0.074	-0.146

61.692	0
-2.237	-1.185
-2.102	-0.819
-1.255	-0.409
-0.718	-0.429
-0.570	-0.057
-0.339	0.267
-0.584	0.146
-0.489	0.001
-0.509	-0.063
-0.336	-0.046



	


